sentence,label
Maybe wear a t-shirt to find some kindred spirits?,1
LMAO I feel you!,1
Other women seem to have 'besties'.,1
What are your favorite quotes from movies and TV shows?,1
"Right as Cinderella's float goes by, the downpour starts.",1
Did you just casually drop that you have a nice butt?,1
I'm in. The pool is calling our names.,1
(converting all numbers to dollars in my head from GBP) 1.,1
I'm feeling under the weather. I need rest.,1
I just hate the idea of being seen as a mooch or a loser for doing it.,1
I'm feeling a bit lost. I need some guidance.,1
"I have locked myself, yep!",1
They have so many great 170-190 bpm songs for running.,1
IMO the 90's/early 00's were really a golden age for sci fi.,1
Let's chill at my place and watch a movie.,1
Might just grab some cheap ones too cuz captain destroystuff is chilling about.,1
Freakin bizarre.,1
I feel stupid lol thanks!,1
I can't believe we aced that exam.,1
You are lucky you have about six weeks to try different drinks and see if anything tickles your fancy.,1
Remember A known devil is better then an unknown god.,1
I may or may not run three groups a week XD,1
The props are all just ART.,1
Let's go for a run and clear our minds.,1
And it doesn’t make them “dog like” it makes them...them!,1
Take things one step at a time. You got this.,1
"As someone going back himself, I faced the same doubts as you did, OP.",1
Take a deep breath and find some relaxation.,1
Omg i love that!,1
"I have a toxic friend that it plaguing my life, I have issues with him.",1
"I imagine we've all purchased digital media of some sort, whether it is movies, music, games, software, etc.",1
I can't believe it's already the end of the year.,1
It's my aots of fall 2018.,1
"45-60 mins there, 30-60 mins home.",1
It's going to be an unforgettable night!,1
"A suicide pact in another, and a school shooting.",1
Time flies! Let's make the most of it.,1
This was after I got about 4 things assigned to me....at 4:15pm.,1
"I just did a giveaway, posted about it on fb.",1
Let's go for a joyride and explore the city.,1
It's been of a hell of a year.,1
I worked in some hostels and such to save money along the way.,1
"I agree, we've worked hard enough.",1
No use having great looks if the personality sucks!,1
I may or may not have been high.,1
But imo I don’t like relationships because the love is too conditional.,1
But I just suck at drawing.,1
I'm so over this situation.,1
"For hardcore, I usually have a 50/50 chance of seeing someone I knew from the scene there anyway.",1
Get my money (enough to chill) and thats it.,1
I can't even deal with this situation.,1
The Sierra Nevada’s in CA!,1
"Really don’t want to cry right now, looking for a convo to distract me!",1
Let's have a picnic in the park this weekend.,1
I'm game. I could go for some tacos.,1
That sounds like a fun adventure.,1
I'm craving some Mexican food. Let's go.,1
Mine was so harsh that no human can hurt my feelings any more.,1
"I started in 2010, lol",1
idk wat guys r into,1
Let's go for a drive and blast some tunes.,1
We worked hard and it paid off. Great job!,1
Probably be passed out af.,1
Let's go for a bike ride and enjoy the scenery.,1
"It's a bit of prep work, but holy moley is it delicious.",1
And then we have Ms. Stacy who makes my blood boil.,1
Even as a 25 y.o I still like watching it and I really believe it has something for everyone,1
"I have :( I had my ICQ account back up and online a year or so ago, for about 6 months.",1
"Today I enjoy a drink and tomorrow it's back to studying, gotta earn my own good grades.",1
"I have to do it, tho.",1
That sounds like a delightful plan.,1
"Anddd, it's a national holiday, fml lol.",1
I'm only in my mid-20's so it's not even that long of a time between now and when we were younger.,1
"Actually, I think smartphones have helped me keep in contact with my therapist because of the MyChart app.",1
My psych is cool; I like working with her.,1
Let's order takeout and have a movie night.,1
"If it had a bible, it'd just be a one page book with the words ""Don't be a dick, just be a good person"" on it.",1
It’s finally my cake day!,1
Me too! It's going to be lit!,1
"Me and my BFF are overly so with each other, it strengthens our relationship a lot.",1
"I love doing these experiments, so feel free to reach out to me via PM or something.",1
I'm a chemist for the cosmetics industry and I think this sector doesn't have a chance of automation.,1
My thoughts went from looping back and forth around my misery to being miserable but with a bit of self care.,1
Be cognizant of where you’re pointing yourself.,1
One day I decided to hell with that.,1
"i’m still in uni also, but i usually go to a coffee shop or the library to work on my projects.",1
As a nerdy Asians i know the feeling.,1
"Yeah, we really knocked it out of the park.",1
Seasoned veggies are super underrated in my opinion.,1
"Fair, and I do agree that once a person does have a good amount of experience under their belt, sure GPA would not be an issue.",1
Commune Living EcoVillages Etc,1
Because I always hear therapy + meds is way more effective.,1
I can relate. A cup of coffee works wonders.,1
It's going to be an incredible experience.,1
"I kind of wish I'd sent my MA thesis to Saul Bellow while he was still alive, as his novels were the subject, but I didn't.",1
This one is starting to go on it's last legs.,1
"Wow can you do me, that's hella cool",1
My 17yo was the one here with me when this happened and the EMT’s helped make it less scary for her as well.,1
Are you telling me that someone other than PewDiePie killed a meme?,1
"Let's just say, when I went to university, I was using ICQ chatrooms, that's how ""ancient"" I am.",1
I feel like a noob having not yet bought Spider man.,1
Help me find some killer music,1
I'm craving some sushi. Let's go to that new place.,1
Holy crap I love it!!,1
It happens to the best of us.,1
It will bring you random subs to check out.,1
do you have the DLCs?,1
It's going to be a memorable adventure.,1
That's a lovely idea. Count me in.,1
I'm really tired. I need to hit the hay.,1
"Hope you don't mind morbid lyrics, cause these guys get dark.",1
I like to look at the post and then guess what sub it's from,1
You must have studied really hard. Congrats!,1
I dont know why hed ask a small woman to use my phone if theres tons of other people walking past.,1
"In the end, my entire problem boils down to my fear of failure.",1
Sounds like a great way to destress.,1
Sounds like a fun way to spend the evening.,1
"Can't help, I am worrywart on hospital things but I am glad you are okay so what to ask hmmmmm...anything you like to watch?",1
It's like 25F here right now.,1
So I beat this kid in smash bros for a straight hour where he didn't even take one life off of me; kid was soooooooo mad.,1
I can't believe I aced that exam.,1
"It’s a farming-based open-ended RPG, sorta like Minecraft but with more story/objective and a bit less freedom.",1
"Haha, the first time I visited St. Louis I was completely underwhelmed with how small the arch actually is!!",1
"On a couch, or a comfy PC chair.",1
"We just gotta start being honest about what we REALLY want, and how getting it affects everything on a grand scale.",1
Anytime she was off the clock she wore cat ears and a tail.,0
I was able to keep my work and school life separate this way.,0
Not *entirely* accurate.,0
Have a laugh about it If they judge you harshly because of an easy enough mistake to make then you're better off without them.,0
"It's 0500 and I'm at work, watching systems and keeping the enterprise running",0
Why would you need to be brave to do hamstring curls or leg extensions?,0
you seem like a very great person,0
She sent out some teenager to interview me.,0
"No, but I've heard great things about it.",0
I love trying different types of Asian food.,0
Sometimes my scalp.,0
"Sure, I'm craving some Mexican food. Let's go.",0
"No, I haven't. Don't spoil it for me.",0
I'm respectful of the animal too.,0
"Oh man that's rough, haha Have any boxed pasta or something?",0
We love watching her but I can barely go to the practices because we're new to the gym and there are already mom cliques.,0
"I meant to type ""Do you like sandcastles?""",0
Its not so bad!,0
The Indiana Jones movies are pretty good.,0
Its not a discussion about sides or agendas.,0
The dog or the girlfriend?,0
And I dont really blame him it's really a nice game I play it too.,0
life in america's alright.,0
I do NOT like the cold.,0
"No, what's it about?",0
Just tell your primary doctor you’re tired all the time and they will refer you.,0
:) Those all seem like cool places.,0
I mean currently I work night shift so all the time.,0
Maybe this is more of a European and Canadian thing.,0
"They only breed in brackish water, however this is a good thing, because they would take over your tank very quickly",0
Doesn't Snoop also do this?,0
I have no idea why anyone would follow anyone else though,0
I have a plastic pair that have shit for grip and aren't worth anything but looking at.,0
"I am really anxious, sad, and excited to graduate.",0
All it said was that he had been a speechwriter for Walter Mondale.,0
So it honestly seems like setting up your kid to think you're a liar lmao,0
It's the same reason I'm a lawyer today and not a janitor or farm worker (some of the jobs my family had).,0
Maybe cats are not for you...,0
Any chance you might be able to try that?,0
For learning more than resume help.,0
I spent $322.19 on gifts for my family (8 people) and then $151.75 on gifts for my wife.,0
Not even sexual just a good loving hug or holding someone's hand would make my day.,0
"After all, you have something in common from Day 1 and your work schedules even mesh nicely!",0
Any favorite anime soundtracks?,0
I didn't tell my parents because I didn't want my YouTube use restricted.,0
What do you do if u cant sleep?,0
The weather is very pleasant at the moment.,0
I'm older than you and enjoy the odd McDonald's and Five Guys (and a whole lot more) Everything in moderation.,0
"Again, not very relevant to the actual work I did there, but it was certainly a differentiator from other applicants.",0
I've been terribly starved for affection lately.,0
Trees do so much for us.,0
That’s a positive :),0
Trying to decide what to read next.,0
It give me true power and i know it can be the same for you or anyone else.,0
Don't try to memorize answers though.,0
We’re turning the tank around this year baby.,0
I can't deny that I agree strongly there.,0
I let her in (quietly).,0
I believe that lots of people have that issue.,0
I couldn't browse 4Chan at work.,0
My mental health has never been better.,0
There's where the legit horror is.,0
2 - I may have a band practice.,0
The 1st Gen Moto X was quite possibly the best phone I've ever used though.,0
Or go to a bar/cafe and try your luck.,0
They don't worry about all the potential emergencies that could screw us over since we don't have any money.,0
I just lost my 317-day Duolingo streak because I finished the lesson at 12:01.,0
If you have a friend who is mechanically inclined ask them to give you a hand.,0
I barely go out with people here or do anything interesting.,0
My doc recommended them to me alongside an Ssri.,0
* NSFW is Not Safe For Work.,0
"No matter what happens to the people around you, I hope you take solace in knowing that you are a wonder yourself.",0
It’s never been good in Texas but it’s definitely becoming more visible here.,0
Seriously were did the quality go.,0
"I have a good job in aerospace engineering, a good girlfriend, a group of friends, and pretty decent everything else...",0
I love Italian food. It's so flavorful.,0
If so how’s the legal weed up there,0
I'll believe it considering the first time I ever heard about LiveJournal was shortly before submitting this post.,0
What kind of Netflix shows do you watch?,0
"No, not yet. Is it worth a visit?",0
(Please try to answer the thread title's question and NOT to my opinion.,0
My polling place is at a fire station.,0
Is this casual advertisements now?,0
"Thankfully, you're not doing it seriously.",0
I'm thinking of a beach destination.,0
What countries/regions have **you** noticed leaving their footprint on the internet?,0
"I can't say I'm good with people either, in fact I used to have crippling social anxiety.",0
"I can totally relate to your experience, I came back from a trip that was a few weeks ago.",0
Are you guys playing it?,0
That was such a huge thrill.,0
I can't wait to taste their specialty rolls.,0
You don't seem scared or un-scared to me.,0
Give us a fucking frame of reference of what we're supposed to do to prove we're not robots!,0
Lol that is so hilarious,0
"Uh, their rules say no vandalism, so I decided against it.",0
It’s kind of scary how quickly they pick up things on the internet.,0
Never put past how a simple hello call can help even if just to check and make sure all is well.,0
Drive to your local library and give it a read.,0
"Without a job offer, you don't have a real dilemma yet.",0
Conor or khabib?,0
I didn't mean it to be offensive though.,0
Or compromise and get something cheaper/similar :),0
It’s been a while since I’ve gotten a new minifigure but I might get the new Lando minifigure.,0
I’m not pushing any one path just that it is important to have the conversation before you have kids.,0
Me and my little sister memorized the dialogues of the first three seasons because it was the only thing we watched.,0
I myself have been registered to donate marrow for 5-6 years now.. no matches as of yet though).,0
How do you combat it?,0
You can't use a dollar to buy 2 dollars.,0
This is what I thought of too!,0
I enjoy listening to pop and R&B.,0
"It started last week when I fell asleep watching a movie and since then, I kept doing that.",0
I had a great experience with McDonald's!,0
"I, however, am an optimist who doesn't see any reason to not live, so finding reasons to live has not really crossed my mind.",0
The same goes with tattoos.,0
"Oh my god, I can't wait to hate-listen to that!",0
I'm almost positive she still thinks about you too.,0
I tried programming a little bit.,0
Tell them black panthers aren't even a thing and they lose their minds.,0
> What you see is all that matters.,0
It was a bummer they didnt make it in.,0
That's OK that you don't have places to hike.,0
Well done for doing such a good job raising him!,0
"It brings a tear to my eye everytime I hear the Beatles version,  but it's still one of my favorite songs of theirs.",0
No need to hide it lol,0
it's italian my dude ahahaha,0
"With those stores next to each other, guranteed weed man on the corner.",0
"I really don't either, I used to get up because I felt hungry but I sort of never do anymore.",0
Just different things.,0
But that's about it.,0
I haven't been there yet. Is it any good?,0
BIG congrats though!,0
"I do help him at his job from time to time when I can but other than that, it's just study time for me.",0
My time in the Army is an attributing factor I guess.,0
So what happens?,0
One morning there was a  pile of clothes and on top was a pile of coin.,0
"Now, if I was dating a guy and he had shaved legs I definitely would notice and I definitely would think it’s weird.",0
Been getting enough sleep?,0
And have you talked to her about this?,0
Also try Dan O'Connor on YouTube for communication skills.,0
It’s kind of mind blowing to care for someone else above yourself.,0
"Honestly, I've heard this joke before and like it, but terrible delivery",0
"All my life, I've had this unexplained love for the piano.",0
"Good morning, Professor!",0
We mainly want to move for better weather.,0
But what does it mean to grasp it?,0
Let you see how they see for a few minutes.,0
Did you hear about the new gym opening soon?,0
Hope your mom loves it!,0
What do you guys have nightmares about?,0
Not enough for mass adoption.,0
Here is my top five that aren't all that well known; 1.,0
"I usually get a big burrito, read some news, just start forgetting about work for the weekend.",0
Kids don’t necessarily make a family.,0
i've been super depressed and on the verge of crying all day applying to jobs makes me want to die,0
That’s actually really cool.,0
You chew and get the inside part out of the shell and spit the shell out.,0
In the little loft area above the ground level.,0
Do you have any recommendations for a good book?,0
Depends on the person.,0
Awwww thank you!,0
Do you think it’s okay to ask your parents for a loan if you fully intend to pay it back?,0
"You wear them under ""normal"" socks and they prevent blisters.",0
It’s definitely worth the time.,0
"A happy ending, awesome :D",0
I'd definitely want to speak the language more than write it out though,0
How long has this been going on?,0
Any other scenes from this show make you laugh out loud?,0
IT'S THE CAT VIDEO.,0
I think about a girl I ran into in a stairwell of a hotel once.,0
"Yeah, I could use some fresh air.",0
"I do imagine myself near death every so often, and it helps take me out of the worries and concerns I have during the day.",0
Try showing them to the dog before you start sitting her.,0
"We got along so well and talked for a long time, and I just found out we have so many similar interests.",0
"When we got there it was quickly obvious the person behind the counter was alone, and the meal rush was coming up fast.",0
Thanks it means a lot,0
yeah... i've definitely still got a lot of work to do.,0
With a small team at my site we have to be able to do everything.,0
"I don’t care if you say music helps you focus or get in the zone, just don’t do it.",0
You weren't kidding!,0
"You even write uplifting comments on popular posts, knowing that they will probably get buried under a hundred others.",0
"And it's not only my opinion, some of my friends have the same opinion.",0
I'm good today.,0
I love the quote too haha!,0
"Again, you made it, congrats.",0
"That's one of my favorite subs, love adding to discussions and getting replies throughout the day to keep my day going at work.",0
That's absolutely some of it.,0
Full points to manager for employee motivation.,0
"Hey, do you have any plans for the evening?",0
Like it was all about the money.,0
"Thanks for taking time and responding, pizza bites are a great purchase!",0
being a standard elevator-greeting in summer).,0
"Being an extrovert, that is hard.",0
That’s like my favorite sound in the world.,0
I would love to get back to it also.,0
"BoJack, on the other hand, is just so weirdly good at covering serious topics in a very real way.",0
Never worry about the downvotes.,0
"I wish you and your family all the best, and hope the kid makes a full recovery.",0
Is it healthy to go through life not caring what people think of you?,0
We ended up making almost a hundred of those!,0
It costs a bomb over here.,0
I've been keeping my eyes out for mentions of it though just in case.,0
"May regret, may not, we'll see.",0
I recently stopped drinking so much and it was funny for me to be the one on the crew who wasn't hurting from Sunday.,0
I've done them at different jobs over the years and I'm one of those that are suited to them I guess.,0
"Reading some other french comments here made me a bit happy though, because I could roughly understand what they said, yay!",0
"You can have 29kids, STILL not his business why- until it affects him personally.",0
Definitely odd.,0
"So, I can't ask for help understanding occasionally in person from anyone.",0
"If I had to choose, probably money.",0
Interesting....I’m gonna check these out,0
That first day I couldn’t believe th moon was real.,0
"Yeah, it was a game-changer for sure.",0
"Good luck my brother (or sister, idunno)!",0
Really brutal but pretty cool.,0
"If you're trying to get through to a coworker to help them improve, start by complimenting the way they do ABC.",0
